miyasui_1,siegel,0,19-jan-04,i-adj-stem-lex,見やすい,見やすい,,"miyasui_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
geragera_1,siegel,0,19-jan-04,scopal-adv-lex,げらげら,げらげら,,"geragera_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
bukimi_1,siegel,0,19-jan-04,na-adj-lex,不気味,不気味,,"bukimi_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
kiwadoi_1,siegel,0,19-jan-04,i-adj-stem-lex,きわどい,きわどい,,"kiwadoi_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
tada-adv,siegel,0,19-jan-04,scopal-adv-regular-lex,ただ,ただ,,"tada",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
kirikiri_1,siegel,0,19-jan-04,scopal-adv-lex,きりきり,きりきり,,"kirikiri_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hijou-adj,siegel,0,19-jan-04,na-adj-lex,非常,非常,,"hijou",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
yakubusoku_2,siegel,0,19-jan-04,na-adj-lex,役不足,役不足,,"yakubusoku_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
souzetsu_2,siegel,0,19-jan-04,na-adj-lex,壮絶,壮絶,,"souzetsu_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
sabasaba_2,siegel,0,19-jan-04,scopal-adv-lex,さばさば,さばさば,,"sabasaba_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
tomoni_1,siegel,0,19-jan-04,scopal-adv-lex,共に,共に,,"tomoni_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
gurafikku_2,siegel,0,19-jan-04,na-adj-lex,グラフィック,グラフィック,,"gurafikku_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
iyami_2,siegel,0,19-jan-04,na-adj-lex,嫌み,嫌み,,"iyami_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
ichien_2,siegel,0,19-jan-04,scopal-adv-lex,一円,一円,,"ichien_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
muttsuri_2,siegel,0,19-jan-04,scopal-adv-lex,むっつり,むっつり,,"muttsuri_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
shokkingu_1,siegel,0,19-jan-04,na-adj-lex,ショッキング,ショッキング,,"shokkingu_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
zokkon_1,siegel,0,19-jan-04,scopal-adv-lex,ぞっこん,ぞっこん,,"zokkon_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
katto_2,siegel,0,19-jan-04,scopal-adv-lex,かっと,かっと,,"katto_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hatto_2,siegel,0,19-jan-04,scopal-adv-lex,はっと,はっと,,"hatto_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
tashika-adv,siegel,0,19-jan-04,scopal-adv-regular-lex,たしか,たしか,,"tashika",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
kotogotoku_1,siegel,0,19-jan-04,scopal-adv-lex,ことごとく,ことごとく,,"kotogotoku_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
nikoniko_2,siegel,0,19-jan-04,scopal-adv-lex,にこにこ,にこにこ,,"nikoniko_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
yaya-adv,siegel,0,19-jan-04,scopal-adv-regular-lex,やや,やや,,"yaya",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
jissai-adv,siegel,0,19-jan-04,scopal-adv-regular-lex,実際,実際,,"jissai",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
danpenteki_1,siegel,0,19-jan-04,na-adj-lex,断片的,断片的,,"danpenteki_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
saikou_2,siegel,0,19-jan-04,na-adj-lex,最高,最高,,"saikou_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
kenkabayai_1,siegel,0,19-jan-04,i-adj-stem-lex,けんか早い,けんか早い,,"kenkabayai_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
douitsu-1-naadj,siegel,0,19-jan-04,na-adj-lex,同一,同一,,"douitsu",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
nanto_2,siegel,0,19-jan-04,scopal-adv-lex,何と,何と,,"nanto_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
nanbo_1,siegel,0,19-jan-04,scopal-adv-lex,なんぼ,なんぼ,,"nanbo_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
myou_2,siegel,0,19-jan-04,na-adj-lex,妙,妙,,"myou_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
gudenguden_1,siegel,0,19-jan-04,na-adj-lex,ぐでんぐでん,ぐでんぐでん,,"gudenguden_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
kimazui_1,siegel,0,19-jan-04,i-adj-stem-lex,気まずい,気まずい,,"kimazui_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
yatto_1,siegel,0,19-jan-04,scopal-adv-lex,やっと,やっと,,"yatto_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
nanibun-adv,siegel,0,19-jan-04,isect-adv-lex,何分,何分,,"nanibun",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
gakkuri_2,siegel,0,19-jan-04,scopal-adv-lex,がっくり,がっくり,,"gakkuri_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
zanshin_1,siegel,0,19-jan-04,na-adj-lex,斬新,斬新,,"zanshin_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
